repository_code	analysis_id	object_id	file_type	file_name	file_size	md5sum	index_object_id	donor_id	sample_id(s)	program_id
song.toronto	3e62ab7e-0b35-4bf3-a2ab-7e0b35cbf3f0	98490559-6996-52bc-a719-d3fa0a354a1f	VCF	PACA-CA.DO35136.SA412702.wxs.20201119.gatk-mutect2.somatic.indel.open-filter.vcf.gz	27145	b9551f9bb669eee94cf3a5745c1fbb09	cd4f005c-9c2e-5754-8793-58c8146f480b	DO35136	SA412702	PACA-CA
song.toronto	ec492813-ab19-48d6-8928-13ab1948d687	354eb777-0a6c-5dde-8f39-672dd6545942	VCF	PACA-CA.DO35132.SA413109.wxs.20201115.gatk-mutect2.somatic.indel.open-filter.vcf.gz	31183	4c600d41b6f6e5de137940f519e7d083	c25e9601-3815-5784-b5ef-e970a0dcb9c4	DO35132	SA413109	PACA-CA
song.toronto	8e85dabc-380d-4855-85da-bc380df85535	76b3bbbb-3d0a-5967-a9b0-5438da1afc0f	VCF	PACA-CA.DO35132.SA413109.wxs.20201115.gatk-mutect2.somatic.snv.open-filter.vcf.gz	79936	0e86dd1618cdc6dc0ea57a2f81386821	62aca3b2-1cdc-5fc0-ad89-4e36ec375e79	DO35132	SA413109	PACA-CA
song.toronto	b1201784-5e5a-4200-a017-845e5a32004e	1f316fc4-c511-5e8a-b359-a10b8355a295	VCF	PACA-CA.DO35128.SA412659.wxs.20210112.gatk-mutect2.somatic.indel.open-filter.vcf.gz	26665	2750683b04e3373c5d03d1a63d9b4b0f	a815b695-4bdd-5e6d-8582-66044fbc2f1d	DO35128	SA412659	PACA-CA
song.toronto	1ad5eee6-0528-481a-95ee-e60528481a96	c18c6336-037b-5cbb-9549-7444f92e3c6a	VCF	PACA-CA.DO35128.SA412659.wxs.20210112.gatk-mutect2.somatic.snv.open-filter.vcf.gz	43646	f140e40836032ad7962046207a3c08a4	304ae301-d596-5e5b-ab46-4a9a737cdefb	DO35128	SA412659	PACA-CA
song.toronto	e034ae51-d5c1-4c61-b4ae-51d5c14c611b	b4d9e725-0a79-547b-8a8e-9952be4bef82	VCF	PACA-CA.DO35126.SA412738.wxs.20210111.gatk-mutect2.somatic.snv.open-filter.vcf.gz	40943	c7a3d3d2ca2ce30f326bb82a653ac508	33ba075c-9d12-56fa-95e7-157fdd892d7c	DO35126	SA412738	PACA-CA
song.toronto	7a997d2c-e896-40a1-997d-2ce89630a1b3	d8bcff23-64e8-5aac-8427-9df336258ca9	VCF	PACA-CA.DO35126.SA412738.wxs.20210111.gatk-mutect2.somatic.indel.open-filter.vcf.gz	27143	34837538f4f12fbcc9b75849fc91ea73	09e21032-edf8-5c20-9628-7fd68028e2c5	DO35126	SA412738	PACA-CA
song.toronto	83fc829b-af39-4c2e-bc82-9baf393c2e42	c89a4b2e-77d8-59c9-97b7-e88a5293167a	VCF	PACA-CA.DO35116.SA412612.wxs.20201115.gatk-mutect2.somatic.snv.open-filter.vcf.gz	45632	167098a1a406a86ae0f51ca8d4a771de	a1c8695c-ab16-5c8e-a5f4-01fb7e6d7edc	DO35116	SA412612	PACA-CA
song.toronto	b248e64e-d43c-4125-88e6-4ed43cf12539	e9e03619-179f-5e41-a4c5-b63885d54748	VCF	PACA-CA.DO35116.SA412612.wxs.20201115.gatk-mutect2.somatic.indel.open-filter.vcf.gz	38709	9a5fdf1c05ecb14f90bf4c3316e85e97	3db55ddd-bb0d-51f4-bf45-9c18b61da6df	DO35116	SA412612	PACA-CA
song.toronto	742a8fac-156b-45d8-aa8f-ac156bf5d876	6bd26474-37fa-5944-9f70-2373cb6176fc	VCF	PACA-CA.DO35102.SA412570.wxs.20210111.gatk-mutect2.somatic.snv.open-filter.vcf.gz	36239	38cda696509391a61b86b2b5ffeac458	4b6b5308-15ff-512b-b373-315dbb79943c	DO35102	SA412570	PACA-CA
song.toronto	a3757a69-0f05-4b84-b57a-690f058b84d2	953f8ee1-44d1-5947-906d-5e1d80b3f41f	VCF	PACA-CA.DO35102.SA412570.wxs.20210111.gatk-mutect2.somatic.indel.open-filter.vcf.gz	29314	aaedd351b07e2e90182f718a21f62f94	b3ce7241-d4f0-5550-b046-3c13b509eae4	DO35102	SA412570	PACA-CA
song.toronto	378eb175-37b8-46e6-8eb1-7537b836e682	44e6da41-2e77-56ed-9955-f44787eb1468	VCF	PACA-CA.DO35098.SA412540.wxs.20201115.gatk-mutect2.somatic.indel.open-filter.vcf.gz	27575	4d5dc7aa794c084257bdf541f526f073	d04d674c-6ae1-593d-95d2-add92d194be6	DO35098	SA412540	PACA-CA
song.toronto	33a0fb4a-f662-4eba-a0fb-4af662aeba04	fc59d9f0-1ab8-5a07-a6d2-a4bcf7acfcc5	VCF	PACA-CA.DO35098.SA412540.wxs.20201115.gatk-mutect2.somatic.snv.open-filter.vcf.gz	83433	119746c5a50182cc9f98f128380474d2	0571dff0-9761-5728-af63-40ce8097376d	DO35098	SA412540	PACA-CA
song.toronto	d46838c1-b4e7-44fe-a838-c1b4e7b4feef	42381642-b909-5a84-bdbf-ecc9d6d462aa	VCF	PACA-CA.DO35085.SA413127.wxs.20210112.gatk-mutect2.somatic.indel.open-filter.vcf.gz	33597	41c870bccfdf9239560028b4cd81be8f	5315e6bf-4ba6-5896-ba2d-75274138042c	DO35085	SA413127	PACA-CA
song.toronto	067d7389-c1b4-49f3-bd73-89c1b4c9f3d2	63a26798-53f0-53ec-bd0f-f52f988b7c73	VCF	PACA-CA.DO35085.SA413127.wxs.20210112.gatk-mutect2.somatic.snv.open-filter.vcf.gz	29144	bc5a2974caef65d3334d9dc818c18856	29fcfa0e-735e-596e-9fc5-4715377715d9	DO35085	SA413127	PACA-CA
song.toronto	e6bb4399-11ba-449d-bb43-9911ba849d6d	a8990053-290b-5da6-823f-5d580a1d2fb4	VCF	PACA-CA.DO35083.SA412689.wxs.20210112.gatk-mutect2.somatic.indel.open-filter.vcf.gz	33309	444e8a98d011022b4c1986701a2002f3	f2382906-3432-534e-8048-fb8b85a79e73	DO35083	SA412689	PACA-CA
song.toronto	8dee5f17-e322-467a-ae5f-17e322667abe	bf3730ef-f5cb-5639-ab51-0ab076f2cfb8	VCF	PACA-CA.DO35083.SA412689.wxs.20210112.gatk-mutect2.somatic.snv.open-filter.vcf.gz	53593	b5c8c74ef761d3bb314eb6b4ecb7f67d	11e8a4d9-9f3d-5452-9df0-e1f75916d6e5	DO35083	SA412689	PACA-CA
song.toronto	014354f5-6182-4a87-8354-f561823a8775	2d55ee24-339e-5f95-8db8-b39486103999	VCF	PACA-CA.DO35082.SA413031.wxs.20210111.gatk-mutect2.somatic.snv.open-filter.vcf.gz	38045	6cdb86abb00a0e024d1848a99e668148	aa778403-9858-5c6f-99a1-a362d3bbf3b3	DO35082	SA413031	PACA-CA
song.toronto	626dc635-6c5f-4dd2-adc6-356c5ffdd2aa	55ce7fdc-7298-5ba6-a9bc-6a705f803df0	VCF	PACA-CA.DO35082.SA413031.wxs.20210111.gatk-mutect2.somatic.indel.open-filter.vcf.gz	31795	bab75b853435e775f1111b56733d14bd	e112a77e-6fc7-5f15-b467-a5ef784aa5d1	DO35082	SA413031	PACA-CA
